target_id,domain,original_url,clean_url,required_country
N02-011,Purplle,https://www.purplle.com/product/faces-canada-comfy-matte-lip-color-comfortable-10-hours-longstay-matte-finish-almond-oil-and-vitamin-e-infused-never-down-05-3ml-67-25-15,https://www.purplle.com/product/faces-canada-comfy-matte-lip-color-comfortable-10-hours-longstay-matte-finish-almond-oil-and-vitamin-e-infused-never-down-05-3ml-67-25-15,IN
N02-012,Purplle,https://www.purplle.com/product/ny-bae-matte-skeyeliner-4-ml,https://www.purplle.com/product/ny-bae-matte-skeyeliner-4-ml,IN
N02-013,Purplle,https://www.purplle.com/product/ny-bae-kajal-blister-pack-0-25-gm,https://www.purplle.com/product/ny-bae-kajal-blister-pack-0-25-gm,IN
N02-014,Purplle,https://www.purplle.com/product/mars-double-trouble-mascara-11-47-10-50,https://www.purplle.com/product/mars-double-trouble-mascara-11-47-10-50,IN
N02-015,Purplle,https://www.purplle.com/product/ny-bae-kajal-twin-pack,https://www.purplle.com/product/ny-bae-kajal-twin-pack,IN
N02-016,Purplle,https://www.purplle.com/product/mars-dance-with-joy-eyeshadow-palette-02-15,https://www.purplle.com/product/mars-dance-with-joy-eyeshadow-palette-02-15,IN
N02-017,Purplle,https://www.purplle.com/product/maybelline-ny-the-colossal-bold-eyeliner-the-archies-collection-black-3ml-12-41,https://www.purplle.com/product/maybelline-ny-the-colossal-bold-eyeliner-the-archies-collection-black-3ml-12-41,IN
N02-018,Purplle,https://www.purplle.com/product/mars-fabulash-mascara-50-15,https://www.purplle.com/product/mars-fabulash-mascara-50-15,IN
N02-019,Purplle,https://www.purplle.com/product/blue-heaven-10x-volumising-mascara-black-8ml,https://www.purplle.com/product/blue-heaven-10x-volumising-mascara-black-8ml,IN
N02-020,Flipkart,https://www.flipkart.com/trahimam-embroidered-kurta-trouser-pant-dupatta-set/p/itmec462155487b8?pid=SWDHCGRZPMH7RMST&lid=LSTSWDHCGRZPMH7RMSTRGPGYS&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Ftys&srno=b_1_1&otracker=browse&fm=organic&iid=en_858HBdHbY_oM_kRSUWymPugSiog6mNS5bDdc90d-D2S89oaXY0TlgYWClgZhqzuK4_OM17Oa2lecKT2EukxjWL6r4ifWWvM5aqmxZfbztDrdFlebINeUXDekUqHLgtU-&ppt=clp&ppn=kurtasets25-at-store&ssid=1w57rd16v40000001789057609377&ov_redirect=true,https://www.flipkart.com/trahimam-embroidered-kurta-trouser-pant-dupatta-set/p/itmec462155487b8?pid=SWDHCGRZPMH7RMST,IN
N02-021,Flipkart,https://www.flipkart.com/visaru-women-kurta-pant-set/p/itm8a10f775a4776?pid=ETHHQBSTMS6NFPEH&lid=LSTETHHQBSTMS6NFPEH756KQN&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Ftys&srno=b_1_2&otracker=browse&fm=organic&iid=en_858HBdHbY_oM_kRSUWymPugSiog6mNS5bDdc90d-D2QpDR4oCWyUHQOAsMC1YA5AFmQv86iT0Di7ngwmkpbL4Ac4uk3KqHTtDWr7ZxT_MJpOHNOdWfNDGWMkoGaHwdtf&ppt=browse&ppn=browse&ssid=1w57rd16v40000001789057609377&ov_redirect=true,https://www.flipkart.com/visaru-women-kurta-pant-set/p/itm8a10f775a4776?pid=ETHHQBSTMS6NFPEH,IN
N02-022,Flipkart,https://www.flipkart.com/berrylicious-women-kurta-pant-dupatta-set/p/itmd74f3967a808d?pid=ETHHQNMPHSYURZAG&lid=LSTETHHQNMPHSYURZAGGUPUX2&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Ftys&srno=b_1_3&otracker=browse&fm=organic&iid=en_858HBdHbY_oM_kRSUWymPugSiog6mNS5bDdc90d-D2RRnqESk0oiTI3jtqq5--xcqNY8MSpHybKpZC8tZfY_a5V8B4RAv8pJ7JIi8rSTT5HdFlebINeUXDekUqHLgtU-&ppt=browse&ppn=browse&ssid=1w57rd16v40000001789057609377&ov_redirect=true,https://www.flipkart.com/berrylicious-women-kurta-pant-dupatta-set/p/itmd74f3967a808d?pid=ETHHQNMPHSYURZAG,IN
N02-023,Flipkart,https://www.flipkart.com/aesthetic-enterprise-embroidered-kurta-trouser-pant-dupatta-set/p/itm9f70fe8b7a6a8?pid=SWDHKMTFX3YAN8P5&lid=LSTSWDHKMTFX3YAN8P5XF05IP&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Ftys&srno=b_1_4&otracker=browse&fm=organic&iid=fc19e03c-e4ad-4dbc-ad21-aae4eda08ecc.SWDHKMTFX3YAN8P5.SEARCH&ppt=browse&ppn=browse&ssid=1w57rd16v40000001789057609377&ov_redirect=true,https://www.flipkart.com/aesthetic-enterprise-embroidered-kurta-trouser-pant-dupatta-set/p/itm9f70fe8b7a6a8?pid=SWDHKMTFX3YAN8P5,IN
N02-024,Flipkart,https://www.flipkart.com/berrylicious-women-kurta-pant-dupatta-set/p/itm4071dd3b0d855?pid=ETHHPWWPHRGMYQGV&lid=LSTETHHPWWPHRGMYQGV4KO3MZ&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Ftys&srno=b_1_5&otracker=browse&fm=organic&iid=en_858HBdHbY_oM_kRSUWymPugSiog6mNS5bDdc90d-TrcXRpk0BIQP4nI4ZcrAVjTMIn_6cdQhJPNqNkj-v2dChjmQQ_7gR10YFSudjE300_2S-jdJScwbxIVJ6dcuMp&ppt=browse&ppn=browse&ssid=1w57rd16v40000001789057609377&ov_redirect=true,https://www.flipkart.com/berrylicious-women-kurta-pant-dupatta-set/p/itm4071dd3b0d855?pid=ETHHPWWPHRGMYQGV,IN
N02-025,Flipkart,https://www.flipkart.com/berrylicious-women-kurta-palazzo-dupatta-set/p/itm288010a5645ff?pid=ETHHGXWJUVV949GG&lid=LSTETHHGXWUVV949GGPECNWD&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Ftys&srno=b_1_6&otracker=browse&fm=organic&iid=en_858HBdHbY_oM_kRSUWymPugSiog6mKYVAsKKmURkKFRoLqa3CvwwMihjmQQ_7gR10YFSudjE300_2S-jdJScwbxIVJ6dcuMp&ppt=browse&ppn=browse&ssid=1w57rd16v40000001789057609377&ov_redirect=true,https://www.flipkart.com/berrylicious-women-kurta-palazzo-dupatta-set/p/itm288010a5645ff?pid=ETHHGXWJUVV949GG,IN
N02-026,Flipkart,https://www.flipkart.com/griva-lifestyle-embroidered-kurta-trouser-pant-dupatta-set/p/itmf10603d03c254?pid=SWDHMP4ZRADQV42D&lid=LSTSWDHMP4ZRADQV42DKYCJIY&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Ftys&srno=b_1_7&otracker=browse&fm=organic&iid=fc19e03c-e4ad-4dbc-ad21-aae4eda08ecc.SWDHMP4ZRADQV42D.SEARCH&ppt=browse&ppn=browse&ssid=1w57rd16v40000001789057609377&ov_redirect=true,https://www.flipkart.com/griva-lifestyle-embroidered-kurta-trouser-pant-dupatta-set/p/itmf10603d03c254?pid=SWDHMP4ZRADQV42D,IN
N02-027,Flipkart,https://www.flipkart.com/pinnara-women-kurta-pant-set/p/itmfd4f99663453b?pid=ETHHNKC7ZZ3HTZ3R&lid=LSTETHHNKC7ZZ3HTZ3RNZOHJH&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Ftys&srno=b_1_8&otracker=browse&fm=organic&iid=fc19e03c-e4ad-4dbc-ad21-aae4eda08ecc.ETHHNKC7ZZ3HTZ3R.SEARCH&ppt=browse&ppn=browse&ssid=1w57rd16v40000001789057609377&ov_redirect=true,https://www.flipkart.com/pinnara-women-kurta-pant-set/p/itmfd4f99663453b?pid=ETHHNKC7ZZ3HTZ3R,IN
N02-028,Flipkart,https://www.flipkart.com/berrylicious-women-kurta-pant-dupatta-set/p/itm260c448b0610e?pid=ETHH9Y383VD87XSZ&lid=LSTETHH9Y383VD87XSZXNGUBC&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Ftys&srno=b_1_9&otracker=browse&fm=organic&iid=en_858HBdHbY_oM_kRSUWymPugSiog6mNS5bDdc90d-D2TOAiqfwAenXpVQtjLkFtiPu7TgkOBL-GgFX_uqa3qbiChjmQQ_7gR10YFSudjE300_2S-jdJScwbxIVJ6dcuMp&ppt=clp&ppn=kurtasets25-at-store&ssid=1w57rd16v40000001789057609377&ov_redirect=true,https://www.flipkart.com/berrylicious-women-kurta-pant-dupatta-set/p/itm260c448b0610e?pid=ETHH9Y383VD87XSZ,IN
N02-029,Flipkart,https://www.flipkart.com/queenslifestyle-embroidered-kurta-trouser-pant-dupatta-set/p/itm3767f5b2a58c4?pid=SWDHZW3ZJQQEHMBH&lid=LSTSWDHZW3ZJQQEHMBHCUDGK4&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Ftys&srno=b_1_10&otracker=browse&fm=organic&iid=fc19e03c-e4ad-4dbc-ad21-aae4eda08ecc.SWDHZW3ZJQQEHMBH.SEARCH&ppt=browse&ppn=browse&ssid=1w57rd16v40000001789057609377&ov_redirect=true,https://www.flipkart.com/queenslifestyle-embroidered-kurta-trouser-pant-dupatta-set/p/itm3767f5b2a58c4?pid=SWDHZW3ZJQQEHMBH,IN
N02-030,Amazon,https://www.amazon.com/UGG-Lachlan-UGGFLUFF-Jacket-Multi/dp/B0DRDRYPPN,https://www.amazon.com/dp/B0DRDRYPPN,US
N02-031,Amazon,https://www.amazon.com/POLO-RALPH-LAUREN-Leather-Loafers/dp/B0CDJMZSCD,https://www.amazon.com/dp/B0CDJMZSCD,US
N02-032,Amazon,https://www.amazon.com/Von-Dutch-Unisex-Trucker-Hat/dp/B0DNTZ4RSF,https://www.amazon.com/dp/B0DNTZ4RSF,US
N02-033,Amazon,https://www.amazon.com/Lele-Sadoughi-Womens-Oversized-Square/dp/B0GVKXD81S,https://www.amazon.com/dp/B0GVKXD81S,US
N02-034,Amazon,http://amazon.com/Coated-Canvas-Signature-Plaza-Bag/dp/B0FHBZFTXX,https://www.amazon.com/dp/B0FHBZFTXX,US
N02-035,Amazon,https://www.amazon.com/Summer-Fridays-Lip-Butter-Balm/dp/B09FYJWPDB,https://www.amazon.com/dp/B09FYJWPDB,US
N02-036,Amazon,https://www.amazon.com/Beats-Studio-Pro-Personalized-Compatibility/dp/B0C8PT7DF5,https://www.amazon.com/dp/B0C8PT7DF5,US
N02-037,Amazon,http://amazon.com/Coach-Nappa-Glove-Saddle-Large/dp/B0CDQZBKRK,https://www.amazon.com/dp/B0CDQZBKRK,US
N02-038,Amazon,https://www.amazon.com/Levis-Womens-Leather-Cropped-Jacket/dp/B0DGWWGBJ4,https://www.amazon.com/dp/B0DGWWGBJ4,US
N02-039,Amazon,https://www.amazon.com/CIDER-Skirts-Shorts-Decoration-Pockets/dp/B0FHPV52XM,https://www.amazon.com/dp/B0FHPV52XM,US
